faculty_id,month,teaching_hours,ai_usage_hours,ai_dependency_ratio,student_avg_score,efficiency_score
24,Apr,43.07,13.62,0.32,73.15,40.0
24,May,39.15,29.29,0.75,84.07,64.62
24,Jun,39.93,26.19,0.66,77.24,59.04
24,Jul,43.16,13.27,0.31,72.93,40.0
24,Aug,42.46,16.05,0.38,76.3,40.79
24,Sep,40.23,24.97,0.62,75.98,56.85
24,Oct,40.31,24.65,0.61,82.4,56.28
24,Nov,38.27,32.84,0.86,84.25,71.01
24,Dec,42.54,15.76,0.37,72.8,40.27
25,Jan,45.73,13.0,0.28,75.47,40.0
25,Feb,42.4,26.36,0.62,85.4,62.15
25,Mar,43.82,20.64,0.47,77.71,51.86
25,Apr,45.69,13.19,0.29,73.19,40.0
25,May,40.26,34.88,0.87,81.85,77.49
25,Jun,43.88,20.42,0.47,82.58,51.46
25,Jul,42.51,25.91,0.61,80.36,61.34
25,Aug,41.23,31.04,0.75,84.07,70.56
25,Sep,41.5,29.92,0.72,82.1,68.56
25,Oct,43.98,20.03,0.46,79.65,50.76
25,Nov,42.21,27.11,0.64,80.33,63.5
25,Dec,42.6,25.54,0.6,81.26,60.66
26,Jan,42.07,13.98,0.33,79.65,40.0
26,Feb,41.07,17.98,0.44,73.97,40.0
26,Mar,40.33,20.93,0.52,76.29,44.68
26,Apr,38.34,28.9,0.75,80.91,59.01
26,May,41.96,14.41,0.34,78.3,40.0
26,Jun,38.02,30.16,0.79,76.49,61.28
26,Jul,40.71,19.4,0.48,79.14,41.93
26,Aug,42.09,13.9,0.33,75.1,40.0
26,Sep,39.58,23.93,0.6,81.31,50.07
26,Oct,37.54,32.09,0.85,84.83,64.76
26,Nov,41.75,15.27,0.37,79.3,40.0
26,Dec,42.13,13.74,0.33,77.25,40.0
27,Jan,43.2,18.06,0.42,80.49,41.61
27,Feb,42.51,20.83,0.49,78.6,46.59
27,Mar,41.54,24.69,0.59,82.48,53.55
27,Apr,42.07,22.61,0.54,74.94,49.79
27,May,41.78,23.74,0.57,75.73,51.83
27,Jun,44.78,11.76,0.26,75.33,40.0
27,Jul,39.47,33.0,0.84,79.81,68.49
27,Aug,39.5,32.86,0.83,85.43,68.24
27,Sep,39.25,33.86,0.86,83.32,70.05
27,Oct,39.84,31.51,0.79,78.35,65.83
27,Nov,44.76,11.82,0.26,76.84,40.0
27,Dec,44.92,11.19,0.25,73.74,40.0
28,Jan,34.86,28.48,0.82,78.82,54.07
28,Feb,35.02,27.81,0.79,80.96,52.86
28,Mar,33.84,32.54,0.96,80.49,61.37
28,Apr,38.25,14.93,0.39,72.08,40.0
28,May,34.63,29.37,0.85,77.96,55.67
28,Jun,36.33,22.6,0.62,74.29,43.49
28,Jul,35.8,24.71,0.69,77.43,47.28
28,Aug,38.35,14.5,0.38,74.86,40.0
28,Sep,37.81,16.65,0.44,74.61,40.0
28,Oct,34.55,29.72,0.86,83.28,56.29
28,Nov,39.38,10.41,0.26,72.72,40.0
28,Dec,39.38,10.37,0.26,79.1,40.0
29,Jan,33.58,34.65,1.03,79.65,77.77
29,Feb,37.53,18.86,0.5,78.25,49.35
29,Mar,34.8,29.76,0.85,84.07,68.96
29,Apr,38.97,13.1,0.34,73.91,40.0
29,May,35.72,26.08,0.73,81.93,62.34
29,Jun,36.52,22.9,0.63,75.02,56.63
29,Jul,35.77,25.88,0.72,81.1,61.99
29,Aug,39.47,11.08,0.28,74.59,40.0
29,Sep,34.54,30.79,0.89,81.66,70.82
29,Oct,38.13,16.43,0.43,75.12,44.97
29,Nov,39.25,11.97,0.31,74.93,40.0
29,Dec,35.94,25.2,0.7,82.02,60.76
30,Jan,41.12,29.63,0.72,76.16,56.14
30,Feb,40.71,31.26,0.77,79.37,59.07
30,Mar,40.1,33.68,0.84,77.57,63.42
30,Apr,41.2,29.3,0.71,78.91,55.54
30,May,40.26,33.06,0.82,77.48,62.31
30,Jun,43.27,21.0,0.49,75.1,40.6
30,Jul,45.36,12.67,0.28,78.76,40.0
30,Aug,45.1,13.7,0.3,75.89,40.0
30,Sep,41.41,28.47,0.69,80.83,54.05
30,Oct,42.14,25.54,0.61,73.28,48.77
30,Nov,40.24,33.14,0.82,79.04,62.45
30,Dec,42.81,22.87,0.53,76.5,43.97
31,Jan,40.58,19.6,0.48,76.07,44.38
31,Feb,37.65,31.35,0.83,80.23,65.54
31,Mar,42.39,12.37,0.29,76.56,40.0
31,Apr,36.89,34.39,0.93,89.93,71.0
31,May,38.13,29.4,0.77,80.45,62.02
31,Jun,37.09,33.57,0.91,80.44,69.53
31,Jul,37.98,30.01,0.79,79.08,63.11
31,Aug,40.38,20.43,0.51,75.37,45.87
31,Sep,41.88,14.41,0.34,75.91,40.0
31,Oct,40.0,21.93,0.55,76.16,48.58
31,Nov,37.11,33.5,0.9,74.93,69.4
31,Dec,38.88,26.43,0.68,76.63,56.68
32,Jan,40.55,20.5,0.51,76.45,52.3
32,Feb,40.35,21.29,0.53,73.91,53.72
32,Mar,38.38,29.19,0.76,83.94,67.94
32,Apr,42.56,12.46,0.29,81.12,40.0
32,May,41.88,15.17,0.36,78.67,42.71
32,Jun,38.01,30.65,0.81,87.32,70.57
32,Jul,40.07,22.44,0.56,82.66,55.8
32,Aug,37.49,32.74,0.87,80.81,74.33
32,Sep,41.69,15.97,0.38,80.59,44.14
32,Oct,42.73,11.78,0.28,77.61,40.0
32,Nov,42.11,14.26,0.34,74.66,41.08
32,Dec,40.52,20.63,0.51,80.42,52.54
33,Jan,33.79,33.74,1.0,84.02,74.04
33,Feb,34.44,31.15,0.9,83.54,69.37
33,Mar,38.35,15.51,0.4,78.1,41.22
33,Apr,35.16,28.27,0.8,81.11,64.18
33,May,38.1,16.52,0.43,77.0,43.03
33,Jun,36.14,24.34,0.67,76.26,57.11
33,Jul,35.23,27.98,0.79,82.89,63.66
33,Aug,36.05,24.69,0.68,74.78,57.73
33,Sep,38.76,13.88,0.36,77.69,40.0
33,Oct,35.83,25.59,0.71,74.54,59.36
33,Nov,37.88,17.4,0.46,78.98,44.62
33,Dec,37.56,18.68,0.5,78.09,46.93
34,Jan,36.09,29.09,0.81,80.16,60.76
34,Feb,35.54,31.29,0.88,91.22,64.73
34,Mar,39.59,15.11,0.38,77.17,40.0
34,Apr,36.36,28.03,0.77,84.4,58.85
34,May,38.31,20.23,0.53,74.69,44.81
34,Jun,40.19,12.71,0.32,76.32,40.0
34,Jul,39.25,16.47,0.42,73.61,40.0
34,Aug,39.21,16.61,0.42,75.62,40.0
34,Sep,40.15,12.86,0.32,76.68,40.0
34,Oct,39.97,13.59,0.34,76.93,40.0
34,Nov,36.16,28.82,0.8,75.4,60.28
34,Dec,39.15,16.86,0.43,73.73,40.0
35,Jan,40.62,22.09,0.54,76.77,44.67
35,Feb,40.4,22.97,0.57,76.18,46.25
35,Mar,40.85,21.17,0.52,77.87,43.0
35,Apr,42.94,12.81,0.3,71.4,40.0
35,May,43.16,11.94,0.28,76.73,40.0
35,Jun,37.42,34.92,0.93,79.93,67.76
35,Jul,39.28,27.49,0.7,77.3,54.38
35,Aug,38.51,30.54,0.79,82.89,59.88
35,Sep,39.5,26.57,0.67,83.45,52.73
35,Oct,40.49,22.64,0.56,76.99,45.66
35,Nov,37.9,32.97,0.87,85.01,64.24
35,Dec,40.61,22.14,0.55,74.91,44.75
36,Jan,38.58,20.88,0.54,79.29,41.09
36,Feb,35.99,31.22,0.87,80.39,59.7
36,Mar,36.76,28.16,0.77,75.71,54.19
36,Apr,36.61,28.76,0.79,75.12,55.27
36,May,39.67,16.52,0.42,81.51,40.0
36,Jun,35.61,32.74,0.92,84.2,62.42
36,Jul,41.1,10.79,0.26,73.43,40.0
36,Aug,39.84,15.8,0.4,78.92,40.0
36,Sep,39.3,17.98,0.46,71.47,40.0
36,Oct,41.04,11.03,0.27,73.37,40.0
36,Nov,40.2,14.4,0.36,72.79,40.0
36,Dec,40.02,15.09,0.38,73.59,40.0
37,Jan,36.52,20.13,0.55,80.29,43.93
37,Feb,33.01,34.17,1.03,84.59,69.2
37,Mar,37.18,17.48,0.47,74.71,40.0
37,Apr,36.55,20.02,0.55,78.9,43.73
37,May,35.4,24.61,0.7,71.32,51.99
37,Jun,37.5,16.2,0.43,74.95,40.0
37,Jul,39.01,10.18,0.26,79.38,40.0
37,Aug,35.36,24.78,0.7,76.15,52.31
37,Sep,38.82,10.95,0.28,77.31,40.0
37,Oct,34.01,30.18,0.89,79.98,62.02
37,Nov,33.17,33.54,1.01,83.66,68.06
37,Dec,35.0,26.22,0.75,79.37,54.9
38,Jan,38.92,10.7,0.27,75.88,40.0
38,Feb,38.69,11.64,0.3,71.73,40.0
38,Mar,36.22,21.53,0.59,78.76,54.15
38,Apr,33.13,33.87,1.02,83.78,76.36
38,May,36.7,19.61,0.53,72.02,50.69
38,Jun,35.16,25.75,0.73,78.58,61.74
38,Jul,33.73,31.47,0.93,80.65,72.04
38,Aug,34.03,30.28,0.89,84.46,69.91
38,Sep,36.23,21.49,0.59,80.63,54.07
38,Oct,34.54,28.22,0.82,79.06,66.2
38,Nov,36.64,19.83,0.54,77.07,51.1
38,Dec,38.11,13.97,0.37,70.48,40.54
39,Jan,36.21,24.98,0.69,77.93,61.76
39,Feb,37.69,19.04,0.51,78.1,51.07
39,Mar,34.2,32.99,0.96,89.69,76.18
39,Apr,39.38,12.28,0.31,78.33,40.0
39,May,34.01,33.77,0.99,88.02,77.58
39,Jun,37.63,19.29,0.51,75.19,51.52
39,Jul,38.29,16.63,0.43,75.09,46.74
39,Aug,36.81,22.55,0.61,77.83,57.39
39,Sep,38.96,13.94,0.36,77.85,41.9
39,Oct,38.25,16.8,0.44,75.61,47.05
39,Nov,38.41,16.17,0.42,78.72,45.91
39,Dec,34.29,32.63,0.95,83.94,75.54
40,Jan,41.13,10.07,0.24,77.57,40.0
40,Feb,39.78,15.47,0.39,78.92,40.0
40,Mar,35.91,30.95,0.86,78.2,58.51
40,Apr,38.16,21.94,0.57,77.14,42.29
40,May,39.5,16.59,0.42,70.79,40.0
40,Jun,39.55,16.38,0.41,73.75,40.0
40,Jul,41.11,10.14,0.25,76.11,40.0
40,Aug,39.04,18.42,0.47,80.66,40.0
40,Sep,36.26,29.53,0.81,78.74,55.95
40,Oct,37.0,26.59,0.72,82.13,50.66
40,Nov,39.45,16.79,0.43,78.4,40.0
40,Dec,38.75,19.56,0.5,73.11,40.0
