student_id,month,attendance_pct,avg_score,ai_usage_hours,performance_delta,engagement_score
7,Mar,86.47,68.33,4.65,1.7,57.46
7,Apr,86.79,67.74,2.6,1.12,55.2
7,May,87.77,66.93,5.97,0.31,59.83
7,Jun,89.69,69.08,28.81,2.46,88.39
7,Jul,88.66,70.48,3.77,3.86,57.73
7,Aug,87.51,70.89,5.98,4.26,59.68
7,Sep,88.17,70.78,2.58,4.15,56.0
7,Oct,85.87,71.73,11.54,5.11,65.37
7,Nov,86.57,73.35,11.48,6.73,65.72
7,Dec,85.1,74.57,14.09,7.94,67.96
8,Jan,82.11,53.79,5.48,0.91,55.85
8,Feb,81.32,52.94,0.33,0.06,49.19
8,Mar,80.48,53.61,13.53,0.73,64.53
8,Apr,81.97,54.0,18.0,1.13,70.78
8,May,82.73,55.55,5.68,2.67,56.46
8,Jun,83.12,55.0,1.43,2.12,51.59
8,Jul,83.94,55.72,4.04,2.85,55.21
8,Aug,84.89,55.13,9.03,2.26,61.77
8,Sep,84.19,56.31,17.13,3.44,71.08
8,Oct,85.1,56.41,3.56,3.54,55.33
8,Nov,86.29,57.91,12.28,5.04,66.51
8,Dec,87.25,58.8,7.86,5.92,61.79
9,Jan,80.87,77.31,15.01,-0.07,66.53
9,Feb,81.61,78.11,2.67,0.73,52.17
9,Mar,83.59,76.98,11.65,-0.4,64.13
9,Apr,84.58,78.19,7.86,0.81,60.18
9,May,84.81,78.58,6.58,1.2,58.78
9,Jun,86.0,79.84,11.63,2.46,65.55
9,Jul,86.35,82.13,12.0,4.75,66.21
9,Aug,87.14,82.31,8.59,4.93,62.6
9,Sep,88.54,81.47,0.73,4.09,54.0
9,Oct,89.9,82.2,3.36,4.82,57.97
9,Nov,88.84,83.22,13.57,5.84,69.59
9,Dec,88.11,82.48,4.85,5.1,58.68
10,Jan,94.57,78.96,1.86,-0.41,58.98
10,Feb,94.33,78.15,7.39,-1.22,65.47
10,Mar,95.87,78.82,3.0,-0.55,61.13
10,Apr,97.29,80.55,7.38,1.18,67.23
10,May,96.26,80.79,6.22,1.42,65.22
10,Jun,96.9,81.17,5.37,1.8,64.58
10,Jul,96.44,83.04,8.55,3.67,68.12
10,Aug,94.9,82.67,4.97,3.31,62.9
10,Sep,94.55,81.42,1.93,2.05,59.04
10,Oct,95.06,82.05,7.53,2.68,66.07
10,Nov,95.53,82.33,4.49,2.96,62.71
10,Dec,97.51,84.15,9.59,4.78,70.01
11,Jan,74.63,61.2,2.44,1.1,47.71
11,Feb,73.8,61.45,16.74,1.35,64.37
11,Mar,74.37,62.28,16.78,2.18,64.76
11,Apr,75.72,63.83,10.25,3.74,57.73
11,May,75.98,63.99,6.94,3.9,53.91
11,Jun,75.94,64.39,17.9,4.29,67.05
11,Jul,76.11,65.5,7.46,5.41,54.62
11,Aug,74.81,65.86,5.82,5.77,51.87
11,Sep,73.81,66.88,7.79,6.78,53.63
11,Oct,74.38,67.49,5.49,7.39,51.21
11,Nov,73.89,67.68,12.56,7.58,59.41
11,Dec,73.36,69.26,3.71,9.16,48.47
12,Jan,84.21,62.53,6.54,0.63,58.38
12,Feb,84.99,62.23,11.99,0.33,65.38
12,Mar,86.16,63.61,9.74,1.71,63.38
12,Apr,86.49,64.03,4.31,2.13,57.07
12,May,86.01,63.91,14.32,2.01,68.79
12,Jun,87.03,66.35,10.45,4.45,64.76
12,Jul,86.72,68.03,4.37,6.13,57.27
12,Aug,86.26,69.64,28.95,7.74,86.49
12,Sep,86.58,68.2,1.33,6.3,53.54
12,Oct,86.19,68.97,8.24,7.07,61.61
12,Nov,85.24,70.04,6.13,8.14,58.5
12,Dec,85.26,70.93,6.66,9.03,59.14
13,Jan,79.27,68.27,3.27,0.98,51.48
13,Feb,78.96,68.75,6.37,1.46,55.02
13,Mar,77.91,67.79,1.56,0.5,48.61
13,Apr,78.75,67.62,11.85,0.33,61.47
13,May,78.82,67.08,2.27,-0.21,50.02
13,Jun,82.11,68.04,9.52,0.75,60.68
13,Jul,82.83,69.53,15.08,2.24,67.8
13,Aug,82.0,70.7,29.9,3.41,85.08
13,Sep,81.88,71.27,12.28,3.98,63.87
13,Oct,83.1,72.13,16.35,4.84,69.48
13,Nov,83.18,72.64,11.39,5.35,63.58
13,Dec,83.92,74.93,35.86,7.64,93.38
14,Jan,81.2,69.68,5.06,2.0,54.8
14,Feb,79.62,70.65,1.72,2.98,49.83
14,Mar,77.29,71.72,17.17,4.04,66.97
14,Apr,78.51,72.59,10.63,4.91,59.87
14,May,77.91,72.49,3.71,4.82,51.2
14,Jun,78.87,72.6,3.42,4.93,51.42
14,Jul,78.87,73.16,9.53,5.49,58.75
14,Aug,78.05,74.74,39.28,7.06,93.97
14,Sep,78.63,77.09,15.0,9.41,65.18
14,Oct,79.32,76.12,10.97,8.44,60.76
14,Nov,78.3,76.4,7.18,8.73,55.6
14,Dec,78.54,76.44,4.16,8.77,52.12
15,Jan,88.39,71.57,16.0,1.3,72.24
15,Feb,88.2,72.03,18.73,1.76,75.39
15,Mar,87.88,72.21,4.63,1.94,58.28
15,Apr,85.97,73.58,5.01,3.31,57.59
15,May,86.92,73.8,16.27,3.53,71.68
15,Jun,87.22,74.51,7.1,4.25,60.85
15,Jul,87.97,77.26,22.41,6.99,79.68
15,Aug,89.06,77.32,13.76,7.05,69.95
15,Sep,90.77,78.51,8.71,8.24,64.91
15,Oct,90.59,79.22,5.79,8.95,61.3
15,Nov,92.59,80.8,9.82,10.53,67.34
15,Dec,93.83,81.45,9.63,11.18,67.85
16,Jan,81.01,80.73,2.69,-0.35,51.83
16,Feb,80.52,81.61,3.09,0.53,52.03
16,Mar,79.91,83.3,7.36,2.22,56.78
16,Apr,81.25,84.83,12.08,3.75,63.25
16,May,81.72,85.47,3.06,4.39,52.71
16,Jun,81.12,84.84,2.82,3.76,52.05
16,Jul,82.27,84.76,13.73,3.68,65.84
16,Aug,83.2,84.83,12.43,3.75,64.83
16,Sep,83.85,85.01,21.45,3.93,76.05
16,Oct,83.88,86.15,8.96,5.07,61.09
16,Nov,84.52,86.85,6.59,5.77,58.61
16,Dec,83.28,88.56,11.74,7.48,64.06
17,Jan,81.05,63.66,4.12,0.07,53.57
17,Feb,81.22,62.73,8.08,-0.85,58.43
17,Mar,82.14,64.66,13.19,1.08,65.11
17,Apr,83.53,66.18,11.09,2.59,63.42
17,May,83.97,66.91,10.65,3.33,63.17
17,Jun,85.84,66.26,6.26,2.67,59.02
17,Jul,86.51,64.94,5.25,1.36,58.2
17,Aug,87.69,65.8,13.06,2.22,68.28
17,Sep,86.93,67.32,4.79,3.74,57.91
17,Oct,87.24,68.26,28.51,4.68,86.55
17,Nov,88.77,70.7,15.28,7.11,71.6
17,Dec,88.19,72.34,12.52,8.76,67.94
18,Jan,87.36,60.12,11.78,1.51,66.55
18,Feb,88.13,60.13,11.31,1.52,66.45
18,Mar,88.67,62.61,47.84,3.99,100.0
18,Apr,88.76,62.0,11.08,3.39,66.56
18,May,88.99,62.91,17.78,4.29,74.73
18,Jun,88.53,63.86,9.66,5.24,64.71
18,Jul,89.46,64.26,14.63,5.65,71.23
18,Aug,90.01,65.27,4.89,6.65,59.87
18,Sep,90.77,65.71,8.12,7.1,64.2
18,Oct,90.86,65.52,5.58,6.91,61.21
18,Nov,89.61,64.68,7.24,6.06,62.46
18,Dec,88.71,64.25,5.69,5.63,60.05
19,Jan,75.39,55.4,5.57,1.43,51.92
19,Feb,76.29,55.13,2.93,1.16,49.29
19,Mar,75.66,53.95,5.94,-0.01,52.53
19,Apr,75.6,54.64,7.4,0.68,54.24
19,May,78.6,54.1,9.58,0.14,58.65
19,Jun,78.81,54.35,14.46,0.38,64.64
19,Jul,78.57,54.39,15.75,0.43,66.04
19,Aug,80.7,55.08,0.54,1.11,49.06
19,Sep,81.37,56.83,11.85,2.86,63.04
19,Oct,81.39,58.11,9.25,4.14,59.93
19,Nov,80.28,55.96,8.02,2.0,57.8
19,Dec,81.53,55.8,1.99,1.83,51.31
20,Jan,71.5,58.84,1.46,-0.31,44.66
20,Feb,73.71,60.78,10.76,1.63,57.14
20,Mar,73.85,61.02,32.43,1.86,83.22
20,Apr,74.36,61.05,15.25,1.89,62.91
20,May,73.83,61.7,5.08,2.55,50.39
20,Jun,73.02,62.22,5.85,3.07,50.84
20,Jul,72.81,63.41,18.93,4.26,66.4
20,Aug,72.58,64.03,3.98,4.88,48.33
20,Sep,73.56,63.92,3.05,4.77,47.8
20,Oct,74.39,65.64,12.32,6.49,59.42
20,Nov,75.15,65.36,4.86,6.21,50.92
20,Dec,74.51,65.23,6.76,6.08,52.82
21,Jan,70.8,66.59,10.37,1.86,54.92
21,Feb,68.35,66.58,7.07,1.85,49.5
21,Mar,70.04,66.4,5.38,1.67,48.48
21,Apr,71.11,66.75,3.03,2.01,46.3
21,May,75.33,67.52,12.06,2.79,59.68
21,Jun,75.35,68.08,5.45,3.34,51.74
21,Jul,75.22,68.76,8.04,4.03,54.79
21,Aug,75.11,68.09,3.79,3.35,49.62
21,Sep,76.66,68.7,5.75,3.96,52.9
21,Oct,77.65,70.54,5.77,5.8,53.52
21,Nov,78.62,72.22,7.25,7.48,55.87
21,Dec,78.72,72.75,9.26,8.02,58.34
22,Jan,64.79,80.38,8.94,1.02,49.6
22,Feb,65.96,80.12,2.01,0.76,41.99
22,Mar,67.21,81.12,3.81,1.76,44.9
22,Apr,66.91,81.84,16.99,2.48,60.54
22,May,66.82,81.55,1.6,2.2,42.01
22,Jun,67.44,80.79,2.88,1.43,43.92
22,Jul,64.75,82.91,8.9,3.55,49.52
22,Aug,65.52,84.45,6.15,5.09,46.69
22,Sep,67.56,84.43,3.59,5.07,44.84
22,Oct,67.04,84.63,12.79,5.27,55.57
22,Nov,66.28,85.09,5.36,5.74,46.21
22,Dec,64.67,86.33,25.0,6.98,68.8
23,Jan,94.68,61.13,2.25,0.27,59.51
23,Feb,96.24,60.71,3.37,-0.15,61.79
23,Mar,96.74,63.19,12.36,2.34,72.87
23,Apr,95.39,63.55,14.73,2.69,74.91
23,May,95.78,63.31,7.57,2.45,66.55
23,Jun,97.6,64.39,7.72,3.53,67.83
23,Jul,97.69,63.69,8.81,2.83,69.18
23,Aug,96.08,63.97,12.69,3.11,72.87
23,Sep,98.27,63.31,5.94,2.45,66.09
23,Oct,99.65,63.99,13.3,3.13,75.75
23,Nov,100.0,65.53,7.74,4.67,69.29
23,Dec,98.78,63.69,5.41,2.83,65.77
24,Jan,71.13,67.5,5.75,0.71,49.57
24,Feb,69.56,67.84,11.68,1.05,55.75
24,Mar,70.31,68.36,9.62,1.57,53.73
24,Apr,71.06,67.89,5.44,1.1,49.16
24,May,71.81,68.28,8.72,1.49,53.55
24,Jun,72.72,68.67,4.55,1.88,49.1
24,Jul,73.24,67.22,5.09,0.43,50.06
24,Aug,73.97,69.25,18.11,2.46,66.12
24,Sep,73.56,68.53,2.24,1.74,46.83
24,Oct,73.3,68.77,1.3,1.98,45.54
24,Nov,73.21,67.97,2.73,1.18,47.2
24,Dec,71.99,68.6,6.59,1.81,51.1
25,Jan,76.77,66.72,25.57,1.85,76.75
25,Feb,77.29,67.7,6.79,2.83,54.52
25,Mar,79.3,69.45,2.53,4.58,50.62
25,Apr,80.37,70.59,10.81,5.72,61.2
25,May,80.42,71.04,9.94,6.17,60.18
25,Jun,80.54,72.47,18.34,7.6,70.33
25,Jul,82.06,73.53,7.97,8.66,58.8
25,Aug,82.26,73.95,1.34,9.09,50.97
25,Sep,83.84,75.29,3.91,10.43,55.0
25,Oct,85.79,76.54,5.63,11.67,58.23
25,Nov,86.45,77.2,4.46,12.33,57.22
25,Dec,87.2,75.91,2.89,11.04,55.79
26,Jan,76.08,75.88,2.86,1.37,49.08
26,Feb,76.18,75.62,5.62,1.11,52.46
26,Mar,78.14,76.39,17.1,1.88,67.41
26,Apr,78.3,77.32,5.47,2.81,53.54
26,May,79.92,77.24,1.09,2.74,49.25
26,Jun,80.13,77.76,8.54,3.25,58.32
26,Jul,81.38,78.39,22.19,3.88,75.45
26,Aug,81.41,78.65,11.78,4.14,62.98
26,Sep,82.15,79.61,8.79,5.1,59.84
26,Oct,81.73,78.31,4.55,3.81,54.5
26,Nov,79.13,78.33,4.98,3.82,53.46
26,Dec,77.8,78.74,3.27,4.23,50.6
27,Jan,79.85,85.54,2.78,0.54,51.25
27,Feb,79.45,87.26,5.71,2.26,54.52
27,Mar,79.65,87.18,3.9,2.18,52.48
27,Apr,80.56,87.83,3.6,2.83,52.65
27,May,79.86,87.64,6.4,2.64,55.6
27,Jun,79.66,88.18,2.0,3.18,50.19
27,Jul,78.86,88.94,16.32,3.94,66.9
27,Aug,80.49,88.92,4.24,3.92,53.38
27,Sep,81.68,90.84,7.07,5.84,57.49
27,Oct,82.69,90.18,5.96,5.18,56.76
27,Nov,83.7,90.4,25.73,5.4,81.1
27,Dec,84.44,91.56,6.15,6.56,58.05
28,Jan,83.06,61.03,12.35,0.28,64.66
28,Feb,84.19,60.96,4.27,0.2,55.64
28,Mar,86.16,63.25,15.55,2.49,70.35
28,Apr,88.24,64.97,14.04,4.22,69.79
28,May,87.49,65.88,4.3,5.13,57.66
28,Jun,88.48,68.2,20.68,7.45,77.91
28,Jul,87.94,69.95,10.62,9.2,65.5
28,Aug,88.2,70.71,14.44,9.96,70.25
28,Sep,87.43,72.82,8.19,12.06,62.28
28,Oct,87.91,73.17,2.5,12.41,55.75
28,Nov,88.4,74.54,8.84,13.79,63.65
28,Dec,91.57,75.32,8.41,14.56,65.04
29,Jan,84.15,61.98,4.17,0.9,55.5
29,Feb,83.72,64.28,11.52,3.19,64.05
29,Mar,84.66,65.8,10.02,4.72,62.81
29,Apr,85.1,67.07,10.94,5.98,64.19
29,May,85.17,67.3,2.94,6.22,54.62
29,Jun,86.64,65.99,3.75,4.9,56.49
29,Jul,87.17,67.47,13.8,6.38,68.86
29,Aug,86.6,67.65,7.02,6.57,60.38
29,Sep,85.98,69.44,10.25,8.36,63.89
29,Oct,86.42,71.2,18.4,10.12,73.93
29,Nov,84.56,74.74,41.97,13.66,100.0
29,Dec,86.37,74.64,1.77,13.55,53.95
30,Jan,75.64,71.66,4.94,-1.69,51.31
30,Feb,76.28,72.2,19.59,-1.15,69.28
30,Mar,75.42,73.21,1.61,-0.14,47.19
30,Apr,74.78,75.24,10.72,1.88,57.73
30,May,75.62,76.36,13.74,3.0,61.86
30,Jun,75.92,77.55,25.66,4.2,76.34
30,Jul,75.85,77.97,1.4,4.61,47.19
30,Aug,75.17,77.76,7.99,4.41,54.69
30,Sep,75.67,77.58,8.9,4.23,56.08
30,Oct,76.23,79.27,1.8,5.91,47.9
30,Nov,77.44,78.54,8.21,5.18,56.31
30,Dec,78.31,79.59,23.38,6.23,75.05
31,Jan,77.63,73.85,31.56,3.4,84.45
31,Feb,77.69,74.41,13.77,3.95,63.14
31,Mar,76.96,75.85,7.37,5.39,55.02
31,Apr,78.89,74.26,3.53,3.81,51.57
31,May,78.67,74.17,2.81,3.71,50.57
31,Jun,79.05,74.75,11.42,4.29,61.13
31,Jul,79.81,74.31,5.53,3.86,54.52
31,Aug,78.42,74.32,2.89,3.87,50.52
31,Sep,78.01,76.9,16.19,6.44,66.24
31,Oct,78.49,77.37,5.38,6.92,53.55
31,Nov,78.71,77.18,12.09,6.72,61.73
31,Dec,80.82,77.91,21.65,7.46,74.47
32,Jan,80.78,79.59,6.21,-0.18,55.92
32,Feb,82.27,80.19,31.58,0.42,87.26
32,Mar,81.76,81.29,15.79,1.52,68.0
32,Apr,82.2,81.67,15.22,1.9,67.59
32,May,84.47,80.96,5.8,1.18,57.64
32,Jun,86.26,81.75,12.04,1.98,66.21
32,Jul,87.05,82.49,4.04,2.71,57.07
32,Aug,87.25,83.61,9.66,3.84,63.94
32,Sep,87.99,81.87,4.11,2.1,57.72
32,Oct,88.41,83.94,13.56,4.16,69.32
32,Nov,88.04,84.16,7.81,4.39,62.19
32,Dec,87.51,86.29,28.93,6.52,87.22
33,Jan,75.27,69.55,5.08,-0.12,51.25
33,Feb,75.49,70.11,5.0,0.44,51.29
33,Mar,76.04,72.37,18.82,2.69,68.21
33,Apr,77.44,71.86,11.54,2.19,60.32
33,May,80.02,74.2,25.46,4.53,78.56
33,Jun,79.04,76.12,12.61,6.45,62.56
33,Jul,80.03,76.01,12.45,6.34,62.96
33,Aug,79.53,76.08,7.63,6.41,56.88
33,Sep,79.7,75.97,5.27,6.3,54.15
33,Oct,80.02,76.94,29.85,7.27,83.83
33,Nov,82.22,79.01,24.77,9.34,79.06
33,Dec,82.69,78.52,8.79,8.85,60.16
34,Jan,89.68,62.16,5.95,0.04,60.95
34,Feb,89.89,63.16,14.84,1.04,71.74
34,Mar,89.13,64.04,8.68,1.91,63.89
34,Apr,90.41,63.02,9.21,0.89,65.3
34,May,92.1,62.25,18.22,0.12,77.12
34,Jun,91.38,62.31,6.42,0.18,62.53
34,Jul,92.35,62.86,22.63,0.74,82.56
34,Aug,93.15,62.82,5.19,0.7,62.11
34,Sep,95.38,63.03,12.09,0.9,71.74
34,Oct,95.73,63.25,2.41,1.13,60.33
34,Nov,94.65,63.19,5.5,1.06,63.39
34,Dec,96.67,63.14,17.41,1.01,78.89
35,Jan,82.21,70.61,11.47,0.88,63.09
35,Feb,83.79,69.25,6.19,-0.48,57.7
35,Mar,81.6,70.35,12.02,0.63,63.38
35,Apr,81.32,69.68,4.05,-0.05,53.65
35,May,83.68,71.07,7.12,1.34,58.75
35,Jun,83.88,70.17,1.41,0.44,52.02
35,Jul,85.78,73.23,30.5,3.5,88.07
35,Aug,86.96,72.71,4.92,2.98,58.08
35,Sep,87.57,73.95,20.75,4.23,77.44
35,Oct,87.34,75.22,36.12,5.49,95.74
35,Nov,90.15,76.0,10.78,6.27,67.02
35,Dec,91.09,76.6,6.95,6.88,62.99
36,Jan,82.14,75.05,7.62,1.18,58.44
36,Feb,83.4,77.15,30.88,3.29,87.1
36,Mar,84.78,78.83,9.9,4.96,62.75
36,Apr,85.4,79.74,11.13,5.87,64.59
36,May,85.99,79.41,2.53,5.54,54.63
36,Jun,88.41,80.79,4.37,6.92,58.29
36,Jul,87.49,81.55,27.89,7.68,85.96
36,Aug,89.03,81.87,8.96,8.0,64.16
36,Sep,89.93,83.03,17.31,9.16,74.73
36,Oct,91.49,85.16,16.59,11.29,74.81
36,Nov,92.8,85.2,3.5,11.33,59.87
36,Dec,95.15,86.08,11.6,12.21,71.0
37,Jan,82.15,71.87,14.47,0.31,66.65
37,Feb,82.48,72.06,1.49,0.49,51.27
37,Mar,83.18,73.15,7.23,1.58,58.58
37,Apr,82.49,74.05,17.16,2.49,70.09
37,May,83.69,75.32,18.67,3.75,72.62
37,Jun,85.89,74.7,2.01,3.13,53.95
37,Jul,86.95,74.31,4.02,2.75,57.0
37,Aug,87.01,75.25,4.85,3.68,58.03
37,Sep,87.58,74.83,11.36,3.27,66.18
37,Oct,86.89,75.01,2.87,3.44,55.58
37,Nov,86.08,74.99,4.12,3.42,56.59
37,Dec,86.78,76.39,13.87,4.83,68.72
38,Jan,85.69,68.94,11.55,-0.12,65.27
38,Feb,86.15,72.03,19.06,2.97,74.56
38,Mar,85.72,72.35,6.22,3.29,58.9
38,Apr,86.75,73.57,10.73,4.51,64.93
38,May,87.39,74.41,7.45,5.35,61.37
38,Jun,86.55,75.38,4.49,6.32,57.31
38,Jul,86.92,75.76,7.92,6.71,61.66
38,Aug,86.1,77.26,26.28,8.2,83.2
38,Sep,87.63,78.0,9.54,8.94,64.03
38,Oct,89.21,79.75,26.28,10.7,85.06
38,Nov,90.35,81.02,12.27,11.96,68.93
38,Dec,91.52,81.94,15.97,12.88,74.07
39,Jan,79.9,73.92,5.16,0.39,54.13
39,Feb,79.28,73.86,9.6,0.33,59.09
39,Mar,79.89,73.52,7.46,-0.01,56.89
39,Apr,80.62,73.97,6.53,0.44,56.2
39,May,79.6,71.93,2.08,-1.61,50.25
39,Jun,83.14,74.84,16.02,1.3,69.11
39,Jul,83.34,74.08,7.22,0.54,58.66
39,Aug,83.01,76.23,25.45,2.7,80.34
39,Sep,84.38,75.72,11.97,2.18,64.99
39,Oct,82.67,76.27,6.62,2.74,57.55
39,Nov,82.84,76.11,14.57,2.58,67.19
39,Dec,82.43,76.92,5.96,3.39,56.61
40,Jan,69.39,74.97,10.59,0.61,54.34
40,Feb,71.12,73.98,3.26,-0.38,46.58
40,Mar,71.75,74.18,5.09,-0.17,49.16
40,Apr,71.36,72.93,5.73,-1.42,49.69
40,May,73.7,73.3,9.02,-1.06,55.04
40,Jun,73.99,74.12,10.59,-0.23,57.1
40,Jul,75.59,73.2,3.49,-1.16,49.54
40,Aug,76.89,73.13,5.42,-1.22,52.64
40,Sep,76.43,73.58,4.24,-0.78,50.94
40,Oct,74.9,72.74,2.37,-1.62,47.79
40,Nov,75.12,71.94,0.83,-2.41,46.07
40,Dec,75.88,71.7,3.2,-2.66,49.37
41,Jan,80.21,77.12,10.55,1.06,60.78
41,Feb,81.1,77.16,5.66,1.1,55.46
41,Mar,81.16,79.07,10.11,3.01,60.82
41,Apr,81.29,79.81,8.78,3.76,59.32
41,May,80.58,80.78,3.43,4.72,52.46
41,Jun,79.99,81.23,0.63,5.17,48.75
41,Jul,78.32,82.4,8.56,6.34,57.26
41,Aug,77.76,83.71,19.86,7.66,70.49
41,Sep,76.27,83.76,2.55,7.7,48.82
41,Oct,76.17,83.5,11.29,7.44,59.25
41,Nov,76.74,84.92,6.01,8.87,53.25
41,Dec,75.86,85.63,5.19,9.57,51.75
42,Jan,74.22,70.29,18.53,0.1,66.77
42,Feb,73.55,70.15,3.03,-0.04,47.77
42,Mar,74.23,71.07,19.15,0.88,67.52
42,Apr,75.51,70.35,6.34,0.16,52.91
42,May,76.64,71.41,23.63,1.22,74.34
42,Jun,76.41,72.55,12.27,2.37,60.58
42,Jul,75.61,72.87,19.81,2.68,69.14
42,Aug,74.51,74.42,18.15,4.23,66.48
42,Sep,74.62,74.26,4.48,4.07,50.14
42,Oct,74.91,74.49,6.74,4.3,53.04
42,Nov,74.48,75.39,6.16,5.2,52.08
42,Dec,74.92,76.43,4.13,6.24,49.91
43,Jan,74.76,63.6,2.2,-0.07,47.49
43,Feb,74.32,65.31,12.8,1.65,59.95
43,Mar,74.86,66.08,16.09,2.42,64.23
43,Apr,75.46,66.32,1.53,2.65,47.12
43,May,73.57,66.41,3.81,2.75,48.71
43,Jun,74.72,66.53,9.29,2.87,55.98
43,Jul,74.62,68.37,17.29,4.7,65.52
43,Aug,75.63,69.37,20.95,5.71,70.52
43,Sep,77.6,69.71,17.57,6.04,67.65
43,Oct,77.58,70.27,23.71,6.61,75.0
43,Nov,76.47,71.17,11.9,7.51,60.15
43,Dec,75.92,71.48,16.7,7.81,65.59
44,Jan,82.63,67.13,26.97,0.95,81.94
44,Feb,83.89,68.0,7.42,1.82,59.24
44,Mar,84.36,69.4,2.8,3.23,53.98
44,Apr,84.72,70.62,13.35,4.44,66.85
44,May,83.69,72.71,19.28,6.54,73.35
44,Jun,83.39,71.15,5.27,4.98,56.35
44,Jul,84.61,71.63,5.95,5.46,57.9
44,Aug,84.63,71.11,7.44,4.94,59.7
44,Sep,84.09,70.99,12.12,4.82,65.0
44,Oct,84.3,71.62,12.17,5.45,65.18
44,Nov,84.78,73.3,17.82,7.13,72.26
44,Dec,85.13,74.45,7.8,8.27,60.44
45,Jan,87.33,76.99,4.99,2.34,58.39
45,Feb,87.23,77.45,19.32,2.8,75.52
45,Mar,87.62,78.27,10.78,3.62,65.51
45,Apr,88.49,78.08,9.16,3.43,64.09
45,May,90.43,77.92,20.59,3.27,78.96
45,Jun,91.28,78.28,10.85,3.63,67.79
45,Jul,90.81,80.66,27.94,6.01,88.01
45,Aug,89.04,80.79,1.47,6.14,55.19
45,Sep,90.99,81.55,6.43,6.89,62.31
